French,English
de,of
la,the
le,the
et,and
les,the
des,from
en,in
un,a
du,of
une,a
que,than
est,is
pour,for
qui,who
dans,in
a,To
par,through
plus,more
pas,not
au,to
sur,on
ne,born
se,be
Le,the
ce,this
il,he
sont,are
La,The
Les,The
ou,Where
avec,with
son,his
Il,He
aux,of
d'un,a
En,In
cette,this
d'une,a
ont,have
ses,his
mais,corn
comme,like
on,we
tout,all
nous,we
sa,her
Mais,Corn
fait,made
été,summer
aussi,too
leur,their
bien,good
peut,may
ces,those
y,Y
deux,of them
A,TO
ans,years
l,the
encore,Again
n'est,is not
marché,Marlet
d,d
Pour,For
donc,so
cours,Classes
qu'il,he
moins,less
sans,without
C'est,It is
Et,And
si,if
entre,Between
Un,a
Ce,This
faire,to do
elle,she
c'est,it's
peu,little
vous,you
Une,A
prix,price
On,We
dont,of which
lui,him
également,also
Dans,In
effet,effect
pays,country
cas,case
De,Of
millions,millions
Belgique,Belgium
BEF,Bef
mois,month
leurs,their
taux,rate
années,years
temps,time
groupe,group
ainsi,Thus
toujours,always
société,company
depuis,since
tous,all
soit,that is
faut,should
Bruxelles,Brussels
fois,times
quelques,a few
sera,will be
entreprises,essence
F,F
contre,versus
francs,francs
je,I
n'a,n / A
Nous,We
Cette,This
dernier,latest
était,was
Si,Yes
s'est,its
chez,at the house of
L,THE
monde,world
alors,so
sous,under
actions,actions
autres,others
Au,At
ils,they
reste,rest
trois,three
non,no
notre,our
doit,must
nouveau,new
milliards,billion
avant,before
exemple,example
compte,account
belge,Belgian
premier,first
s,s
nouvelle,news
Elle,She
l'on,we
terme,term
avait,had
produits,products
cela,that
d'autres,others
fin,end
niveau,level
bénéfice,profit
toute,all
travail,job
partie,part
trop,too much
hausse,rise
secteur,sector
part,go
beaucoup,a lot
Je,I
valeur,value
croissance,growth
rapport,report
USD,USD
aujourd'hui,today
année,year
base,based
Bourse,stock Exchange
lors,during
vers,toward
souvent,often
vie,life
l'entreprise,the company
autre,other
peuvent,can
bon,Well
surtout,above all
toutes,all
nombre,number
fonds,funds
point,point
grande,big
jour,day
va,go
avoir,to have
nos,our
quelque,some
place,square
grand,big
personnes,people
plusieurs,various
certains,some
d'affaires,businessman
permet,allow
politique,Politics
cet,this
chaque,each
chiffre,figure
pourrait,could
devrait,should
produit,product
l'année,year
Par,Through
rien,nothing
mieux,better
celui,the one
qualité,quality
France,France
Ils,They
Ces,Those
s'agit,is
vente,sale
jamais,never
production,production
action,action
baisse,decrease
Avec,With
résultats,results
Des,From
votre,your
risque,risk
début,start
banque,Bank
an,year
voir,see
avons,have
qu'un,one
qu',that
elles,they
moment,moment
qu'on,that we
question,question
pouvoir,to be able to
titre,title
doute,doubt
long,long
petit,small
d'ailleurs,Besides
notamment,notably
FB,Fb
droit,law
qu'elle,what
heures,time
cependant,However
service,service
Etats-Unis,United States
qu'ils,they
l'action,the action
jours,days
celle,that
demande,demand
belges,Belgian
ceux,those
services,services
bonne,good
seront,will be
économique,economic
raison,raison
car,because
situation,situation
Depuis,Since
entreprise,business
me,me
nouvelles,new
n'y,there is no
possible,possible
toutefois,Nevertheless
tant,so much
nouveaux,new
selon,according to
parce,by
dit,said
seul,alone
qu'une,a
sociétés,corporations
vient,come
jusqu',up-to-date
quatre,four
marchés,markets
mise,betting
seulement,only
Van,Van
semble,seems
clients,clients
